,n_estimators,max_depth,min_samples_split,min_samples_leaf,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,209.0,10.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8567229850286733,7.739600369707757,0.6711963255450523,0.3144337666927628,1.751856472619057,7.112352459600672,0.6588264885300903,0.24822990659829897,1.624803282504987,5.987505922231638,0.7295016828095009,0.4264133502850682
1,281.0,5.0,6.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824094450437498,2.3100723573868542,0.9403144418197146,0.7954247698445065,1.0623755069641792,2.2128471480061256,0.927283634745775,0.7554579691342371,1.0630234973806716,2.222379844884402,0.9361956012012992,0.7871021045861241
2,267.0,5.0,13.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082324148582688,2.30937889985419,0.9403352727992675,0.7954874655183143,1.0623800288027174,2.2125332725298277,0.9272929728135402,0.7554842275246545,1.0632079775285679,2.2224316027636704,0.9361902801420188,0.7870971463232094
3,266.0,5.0,15.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0819917077388914,2.306440356457973,0.9404198158322571,0.7957529186774293,1.062368533372577,2.211658618405626,0.9273357893093275,0.7555632023117526,1.0635160072660388,2.2209796908472783,0.936197222641872,0.787236235503683
4,278.0,5.0,12.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082106418362784,2.3071826258282417,0.9403932364919979,0.7956858378474023,1.0623912376094358,2.2120077349347733,0.9273136206222753,0.7555283587217522,1.0634700342577628,2.221472608261474,0.936184632323942,0.7871890153669738
5,277.0,5.0,6.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0819104584553632,2.3056662102211565,0.9404361890238679,0.795822697617568,1.0623885944216607,2.2116638557460964,0.9273323019806108,0.7555621669073759,1.063523638870269,2.2209409733167655,0.9361849960058886,0.7872399445369433
6,268.0,5.0,11.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0825698965584971,2.311389567449678,0.9402783679997592,0.7953057976710185,1.0623773858364445,2.2132572232412198,0.9272771221689428,0.7554318797467073,1.062868003775356,2.2231251153044376,0.9361928281048497,0.7870307097234029
7,277.0,5.0,8.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082340027942271,2.3093727573945717,0.9403327279213591,0.7954880103682167,1.0623725136271789,2.2125570050956016,0.9272887668620577,0.7554811645969287,1.063245078765003,2.2225428523917143,0.9361818536276847,0.7870864889138872
8,270.0,5.0,15.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824722166541165,2.3107083828619137,0.9402991074007907,0.7953673191700679,1.0623778318106643,2.213011519153663,0.9272827331295108,0.7554475543034794,1.0629437726716477,2.2228149901483274,0.9361967882915374,0.7870604188630006
9,281.0,5.0,16.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082331950220195,2.309375291137605,0.9403345120003634,0.7954877307336632,1.0623817644004485,2.212629495214167,0.9272887390017246,0.7554725768408984,1.0632299890657466,2.2225935219506026,0.9361805493340999,0.7870816349090808
