,l1_ratio,Temp,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,Temp_lag_1,Temp_lag_2,Temp_lag_3,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,0.1126661635523818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.355782321196401,11.063049517583718,0.12886113955728984,0.02024020364788865,2.1414684175146066,9.475137024396986,0.07100661486705837,-0.00563743774225456,2.331791693087105,9.701467769575062,0.2602993498816789,0.07062598892696781
1,0.9996109135797098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978748450974032,2.3896534932965707,0.9380071477399963,0.7883628679426766,1.0625708634979105,2.220023309978105,0.9274396048111138,0.754142175228166,1.0390602808897484,2.1764989530228513,0.9383487592872857,0.7914973682218703
2,0.999611325977907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978748449293643,2.389653493274632,0.9380071478121258,0.7883628679446184,1.0625708633832973,2.220023310239468,0.9274396048835614,0.754142175190926,1.0390602805871787,2.1764989528428056,0.9383487593602932,0.7914973682391182
3,0.999721272211322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978748001347616,2.3896534874272906,0.9380071670398771,0.7883628684621931,1.0625708328305132,2.220023379912808,0.9274396241960936,0.754142165263655,1.0390601999302727,2.176498904848451,0.9383487788220607,0.7914973728368457
4,0.9996885030663264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097874813484631,2.389653489169739,0.9380071613095506,0.7883628683079612,1.0625708419359778,2.2200233591483034,0.9274396184405007,0.7541421682222391,1.039060223967971,2.1764989191517556,0.9383487730219915,0.7914973714666285
5,0.9998537803609766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097874746160972,2.389653480384275,0.9380071902076488,0.7883628690856026,1.0625707960169364,2.22002346386562,0.9274396474660171,0.7541421533018803,1.039060102745378,2.1764988470213567,0.9383488022718077,0.7914973783765229
6,0.999802267605141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747671416746,2.389653483121707,0.9380071812018778,0.7883628688433,1.0625708103271174,2.22002343123118,0.927439638420538,0.7541421579516944,1.03906014052311,2.17649886949964,0.9383487931564267,0.791497376223165
7,0.9996207897646132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097874841073215,2.3896534927711874,0.9380071494673514,0.7883628679891805,1.062570860753157,2.220023316237241,0.9274396065460855,0.7541421743363426,1.0390602736438186,2.176498948711143,0.938348761035664,0.7914973686349202
8,0.9998718074976471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747388191832,2.3896534794264634,0.9380071933590399,0.7883628691703829,1.062570791009367,2.2200234752854935,0.9274396506313034,0.7541421516747593,1.039060089525796,2.1764988391556024,0.9383488054615552,0.7914973791300406
9,0.9999663452567537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097874700321758,2.389653474404921,0.9380072098836592,0.7883628696148625,1.0625707647516607,2.220023535167505,0.9274396672287817,0.7541421431427043,1.039060020207556,2.176498797911413,0.9383488221873004,0.7914973830811208
10,0.999844885473993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097874749783629,2.3896534808569068,0.9380071886526579,0.7883628690437678,1.06257079848782,2.220023458230731,0.92743964590417,0.7541421541047485,1.0390601092683134,2.1764988509025702,0.9383488006978908,0.7914973780047132
11,0.9997995354125448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747682545333,2.3896534832669176,0.9380071807241932,0.7883628688304467,1.0625708110861583,2.220023429500194,0.9274396379407472,0.7541421581983286,1.039060142526917,2.1764988706919435,0.9383487926729281,0.7914973761089455
