,colsample_bytree,learning_rate,max_depth,alpha,n_estimators,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,0.8664023987248981,0.8748230634427714,15.0,1.0,192.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.3914846794390177,11.26298629169316,0.055998345979392815,0.002713405730910997,2.23901989427722,9.744202996918188,0.05460276112585272,-0.03958509272254812,2.4489949036922405,10.446939789983466,0.03258100089993721,-0.0007881865571219837
1,0.2882628383083473,0.0951367677376882,1.0,3.0,261.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0871620879173252,2.334706269372846,0.9395750193553556,0.7932379046420945,1.0628438790387806,2.2162340429833955,0.9271895655102835,0.7550901868018803,1.060197259265791,2.208760350159478,0.9368345785657191,0.7884068148363592
2,0.3280784042530913,0.062449005276268,1.0,5.0,246.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874431853039417,2.334279026668912,0.9394713678007611,0.7932751592938478,1.062990918265449,2.214763883018987,0.9271006589037395,0.7552576759014729,1.0605871485959804,2.2077751390094695,0.9367330065249344,0.7885011953630986
3,0.3916934267267432,0.0642533722991876,1.0,1.0,254.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873268373083589,2.334049296079751,0.9395172902453173,0.7932962455949191,1.0627309030671883,2.213992811578085,0.9271695829188331,0.7553327153274626,1.0602548155317235,2.20935398444302,0.9367664379124122,0.7883499462997305
4,0.2319940161582127,0.0624298077063276,1.0,2.0,242.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087444246071498,2.334161960978914,0.9394776135876103,0.7932858326304609,1.0629724487953434,2.214486186156741,0.927104205202516,0.7552847589748828,1.0607199858293936,2.2082424329328294,0.9367186520195271,0.7884564298865524
5,0.2640587204151058,0.0648040719982054,1.0,7.0,258.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872742567832854,2.334333085904009,0.9395078527016256,0.7932702007866014,1.0627710592863708,2.2146341873715176,0.9271474409154307,0.7552728241285578,1.060966381280653,2.2103520465454936,0.9367426098569348,0.7882543346869821
6,0.5930633996135195,0.0782053767700461,1.0,3.0,274.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0871051193953092,2.3341480168447366,0.9395794865926947,0.7932873418786999,1.062901746158517,2.216772528594502,0.927160869527303,0.7550268403081716,1.0597316789822306,2.2079976060236115,0.93687966441124,0.7884798836331444
7,0.5980357851665772,0.0974440130622485,1.0,3.0,291.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872575742391497,2.33472685331746,0.9395793885092798,0.7932359299322942,1.0629107483254647,2.2169405928904693,0.9271626194998845,0.7550087662360094,1.0607807048680469,2.21047525426855,0.9367911012963241,0.7882425317249467
8,0.5580027673058877,0.0615463039231764,1.0,3.0,291.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087181637878618,2.3339540382994053,0.9395465911876002,0.7933043115288679,1.0625710975965101,2.2140894709561953,0.927199322612297,0.7553250333912647,1.0597082883406514,2.207179652691504,0.9368511278488277,0.7885582413195468
9,0.9416360367934188,0.0546220639351958,1.0,4.0,297.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872749152706112,2.3339572495648753,0.9395092532403546,0.7933038926696006,1.0627561012450597,2.214217958614409,0.9271550313115745,0.7553247320826189,1.0603605271373728,2.2073251259481967,0.9367882599210527,0.7885443053804406
10,0.748410130950846,0.0987102574658317,1.0,1.0,287.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872672953347582,2.334728137227752,0.9395835782789901,0.7932364277017521,1.06265534530186,2.215153474930082,0.9272696624925576,0.7552409054323226,1.0605281001101652,2.209950199341813,0.9368066114929869,0.7882928305472369
11,0.2454921895237659,0.099861043943091,1.0,5.0,251.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873152842590148,2.3351614052225997,0.939559454557915,0.7931972285290738,1.0626370015992492,2.2159062147585686,0.9272378296844279,0.7551893307663085,1.0608533866304914,2.2103351169154193,0.9368011064882046,0.7882559564991225
12,0.629125459011297,0.0929368039551104,1.0,6.0,263.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0871627130747887,2.3347278116133685,0.9395666235729887,0.793235600653444,1.0629303864375448,2.2159184229592688,0.9271879966583245,0.7551112622455819,1.0607644948775952,2.209147384798421,0.9368170000040992,0.7883697379791906
13,0.6916905436546148,0.0920680718128205,1.0,4.0,293.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0870977246400768,2.3345603191913176,0.9395708354096117,0.7932507022214306,1.0628756289353096,2.215776772819609,0.92718871042974,0.7551224823610262,1.0605822798365696,2.2091269097023325,0.9368231308595952,0.7883716994372536
14,0.3189500232035716,0.0996371633617252,1.0,3.0,285.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872183418959072,2.3348970427057,0.9395719945783492,0.7932208930942342,1.0626165452758418,2.215702042742459,0.9272414321723087,0.7552029352482681,1.060566629084405,2.2094358425655902,0.9368279025996662,0.7883421045160419
15,0.1646446743446916,0.0969121239421537,1.0,7.0,222.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872384366491008,2.3350687813164264,0.939547342151114,0.7932051019501559,1.0628399877535006,2.216676778504546,0.9271576133452122,0.7550518161992721,1.0607091561132862,2.209932183144226,0.9367919641615995,0.7882945564495656
16,0.4860093733355012,0.0899248636106892,1.0,4.0,197.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872726962891262,2.334814248143246,0.9395339942906777,0.793228379046592,1.062804269760164,2.215695807302801,0.9271631999572266,0.7551558239675726,1.061130287546674,2.210480692847764,0.9367751819014326,0.7882420107239705
17,0.6265053631381049,0.0718826321615368,1.0,3.0,216.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873804378314746,2.3343008062247765,0.939492772012178,0.7932736700477898,1.0631756199688311,2.215763356566323,0.9270818851849649,0.7551165287655712,1.061084401041935,2.210007701704194,0.9367247774803404,0.7882873219785912
18,0.8894299862844298,0.0700025943243986,1.0,5.0,299.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0870044165075357,2.334140862301775,0.9395661668264683,0.7932877497777461,1.062857410580511,2.215827252826662,0.9271585927595396,0.755103891550995,1.059994158307021,2.208727244962211,0.93685243196889,0.7884099862234836
19,0.7556936964692572,0.095189157290244,1.0,3.0,296.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0871324863108243,2.334660455308591,0.9395776790936425,0.7932419551249368,1.0627086167596078,2.2165482739091336,0.9271740304873242,0.7550540957462774,1.0601718509593614,2.2086488226447267,0.9368386044894026,0.788417498866466
