,l1_ratio,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,0.4393290354459273,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.292687380594502,10.217517950559904,0.38695582676534446,0.09543693558664829,2.1742160670870385,8.900406074618523,0.401950827786301,0.040906400922235,2.4076886954968915,9.818044425833392,0.3749462332617456,0.059458264908540226
1,0.9998607520428074,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747433216316,2.389653480013848,0.938007191426408,0.7883628691183908,1.0625707940803246,2.220023468282101,0.9274396486901503,0.7541421526726131,1.0390600976328779,2.1764988439793744,0.9383488035054008,0.7914973786679365
2,0.999799311864588,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747683455878,2.389653483278799,0.9380071806851089,0.7883628688293951,1.0625708111482632,2.2200234293585637,0.9274396379014906,0.7541421582185084,1.0390601426908688,2.176498870789498,0.9383487926333682,0.7914973760996001
3,0.9999561575871732,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097874704470006,2.389653474945944,0.938007208103069,0.788362869566974,1.062570767581031,2.2200235287149255,0.9274396654403407,0.7541421440620729,1.0390600276768667,2.176498802355578,0.9383488203850381,0.7914973826553819
4,0.9999115219792154,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747226458694,2.3896534773166698,0.938007200301272,0.7883628693571303,1.0625707799781323,2.220023500442626,0.9274396576041446,0.7541421480903379,1.0390600604042208,2.176498821828189,0.9383488124882827,0.7914973807899592
5,0.9994793252106924,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978748987224665,2.38965350029914,0.9380071247217578,0.7883628673228473,1.062570900073634,2.2200232265720903,0.9274395816913792,0.7541421871121889,1.0390603774467349,2.1764990104805593,0.938348735988904,0.7914973627175794
6,0.999995453021636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978746884700292,2.389653472859286,0.9380072149708816,0.7883628697516737,1.0625707566680236,2.22002355360289,0.9274396723384342,0.7541421405160194,1.0390599988674025,2.1764987852143105,0.9383488273364418,0.7914973842974684
7,0.9999683105349434,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978746995215392,2.389653474300557,0.9380072102271442,0.7883628696241003,1.0625707642058604,2.220023536412243,0.9274396675737812,0.7541421429653532,1.039060018766687,2.1764987970541116,0.9383488225349662,0.7914973831632479
8,0.999960004941602,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747029034177,2.3896534747416243,0.9380072087755098,0.7883628695850593,1.062570766512518,2.220023531151744,0.9274396661157465,0.754142143714873,1.0390600248560775,2.1764988006772352,0.9383488210656634,0.7914973828161627
9,0.9999798989867354,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978746948030371,2.389653473685184,0.938007212252509,0.7883628696785696,1.06257076098754,2.22002354375187,0.9274396696080761,0.7541421419195982,1.0390600102705796,2.1764987919990326,0.9383488245849826,0.7914973836475107
10,0.9998095710637412,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747641669075,2.3896534827335523,0.9380071824787695,0.7883628688776574,1.062570808298136,2.22002343585826,0.9274396397030598,0.7541421572924188,1.0390601351667617,2.1764988663125155,0.9383487944488595,0.7914973765284827
11,0.9999998233333504,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978746866906408,2.3896534726272396,0.9380072157346638,0.7883628697722131,1.0625707554543669,2.220023556370742,0.9274396731055841,0.7541421401216544,1.039059995663446,2.1764987833080096,0.9383488281095204,0.7914973844800868
12,0.9999225817771822,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747181421085,2.389653476729203,0.9380072022344645,0.7883628694091297,1.0625707769062793,2.220023507448137,0.927439659545861,0.7541421470921849,1.0390600522947748,2.1764988170030852,0.9383488144450048,0.7914973812521909
13,0.9998175008881388,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097874760937065,2.3896534823121245,0.93800718386515,0.7883628689149598,1.0625708060951768,2.220023440882104,0.927439641095553,0.7541421565766119,1.0390601293511255,2.176498862852115,0.9383487958521137,0.7914973768599796
14,0.999754408937372,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747866360303,2.3896534856655864,0.938007172834096,0.7883628686181295,1.062570823623515,2.2200234009090045,0.9274396300158608,0.7541421622720643,1.0390601756245346,2.176498890385798,0.9383487846868006,0.7914973742223284
15,0.9999873633974496,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978746917637903,2.3896534732888264,0.9380072135570718,0.7883628697136531,1.0625707589145792,2.2200235484794266,0.9274396709183907,0.754142141246013,1.0390600047981293,2.176498788743001,0.9383488259054238,0.7914973839594295
