,colsample_bytree,learning_rate,max_depth,alpha,n_estimators,Temp,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,Temp_lag_1,Temp_lag_2,Temp_lag_3,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,0.632149903975953,0.2781302666362602,1.0,5.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3163501801129938,10.063231494999746,0.4209543306293396,0.10906829446309618,2.1679476810563107,8.505962614097998,0.4591286379686861,0.09320360195302983,2.426444120439051,10.028180852103157,0.3847961584734013,0.03932777146224398
1,0.1154168622762101,0.0688643886095126,1.0,1.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872111540975538,2.334128311110182,0.9395216861823001,0.793289503481523,1.0628683636329164,2.214504055470802,0.9271454025848893,0.755231072482171,1.060935395328342,2.2116842015938194,0.9367176500129919,0.788126717886098
2,0.7196906075597221,0.0792382130856167,2.0,4.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086339408801799,2.330103419854427,0.9396723885204384,0.7936476312388233,1.0632377054452906,2.217774131129895,0.927128648553776,0.754975995610303,1.059166232887628,2.205922315089583,0.9369082355309691,0.7886786908142134
3,0.1833831006475258,0.1298921647145737,2.0,5.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0866938810439755,2.3313420099803026,0.9396336530454457,0.7935370592929204,1.0635007088743766,2.2187009895406256,0.9270744329006979,0.7548315795261689,1.060575861393074,2.208961146118744,0.9368313403503186,0.7883875791340405
4,0.2162920044888458,0.100523163756313,1.0,3.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874946634927853,2.3353187789255636,0.9395213895657935,0.7931835457113343,1.0629132956036895,2.216140080485954,0.92717969597445,0.7551541443728821,1.0610922377091778,2.21081795748375,0.9367671591246302,0.7882097016966167
5,0.1453504053847158,0.0669128082061212,3.0,7.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0855623371765066,2.327204981453896,0.9397857392107207,0.7939044521534875,1.063521665940028,2.219813979511466,0.92711416155356,0.7547772404090474,1.0592078237805709,2.205546725390542,0.9369488459358709,0.7887146712775213
6,0.5263806833156541,0.0986273805585851,1.0,6.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087492118335921,2.3353712310857375,0.9395242800277022,0.7931784908288803,1.0627240357759415,2.2155559828264524,0.927210476378665,0.7552142377808334,1.0608233982546453,2.2100932751754714,0.9367874129047118,0.7882791242746838
7,0.7366185553389759,0.0894184231721267,2.0,4.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0863647884890582,2.330445466434283,0.9396575578168895,0.7936168627007418,1.0631726964649921,2.2174396833598036,0.9271346592654117,0.7550267459207592,1.0597026654384274,2.206872704676065,0.9368807103321123,0.7885876460977799
8,0.810421951105087,0.0862423717312758,1.0,5.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0871359770100826,2.334444351437797,0.9395743976305979,0.7932609708171863,1.0627187983386257,2.216257037011278,0.9271995545433421,0.7551281389505651,1.0599748453780382,2.2077832706529397,0.9368424569147611,0.788500416373951
9,0.0373573903492628,0.0899943665247268,1.0,1.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872350945779305,2.3345500888179003,0.9395515764416037,0.7932525352275962,1.0627772387918728,2.215243865975011,0.9271898426135892,0.75518812516768,1.0611675571087869,2.2109772798529423,0.9367678136721249,0.7881944390505071
10,0.5845671799833545,0.0499037268994738,2.0,5.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0866392061370957,2.3313682674358884,0.9395981215883482,0.7935342533495029,1.063157953730092,2.216702931839736,0.927111320940563,0.7550814908473324,1.0595732441664332,2.20561210564172,0.9368849524507541,0.7887084080287299
11,0.2647734355737763,0.0385728362970815,2.0,1.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0871456561039283,2.332358246449118,0.9395085081550378,0.7934469719353123,1.063282152670276,2.215292865010583,0.9270703438422333,0.7552155016288793,1.0603744891056646,2.206395415867929,0.936796948548269,0.7886333690568819
