,l1_ratio,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,0.4730363932473214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.3916230048837357,11.292237978870286,0.005011506261161944,7.691748796887499e-05,2.235116204583363,9.721580777279938,0.004068957956017886,-0.03692012840668475,2.447547848527853,10.44395517344117,5.551115123125783e-16,-0.0005022684761355478
1,0.9974922187076236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978757102255496,2.3896536066036704,0.9380067763786791,0.7883628579133609,1.0625714535706594,2.2200219646867048,0.9274392318120733,0.7541423669210887,1.0390618386350121,2.176499880263489,0.9383483834071122,0.7914972793947597
2,0.9914757570136836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09787818702828,2.3896539349473462,0.9380057130760566,0.7883628288503184,1.0625731472029736,2.2200181166291104,0.9274381638172893,0.7541429153603696,1.0390662983580057,2.1765025382006,0.9383473071752233,0.7914970247716725
3,0.9886033067455128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978793802786384,2.389654095205497,0.9380052008070519,0.7883628146652748,1.062573966072548,2.2200162647840367,0.9274376492861798,0.7541431793571534,1.0390684466609297,2.176503820311036,0.9383467886822252,0.7914969019490082
4,0.9998095089511906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747641922064,2.389653482736853,0.9380071824679101,0.7883628688773651,1.0625708083153915,2.220023435818909,0.9274396396921527,0.7541421572980256,1.0390601352123146,2.1764988663396205,0.9383487944378681,0.7914973765258861
5,0.9998447368213548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747498441719,2.389653480864806,0.9380071886266703,0.7883628690430686,1.0625707985291144,2.220023458136559,0.927439645878068,0.7541421541181663,1.0390601093773268,2.1764988509674343,0.9383488006715871,0.7914973779984994
6,0.9988671029941344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978751484012916,2.389653532939341,0.9380070175475099,0.7883628644337162,1.062571070370565,2.2200228382641507,0.9274394740445321,0.7541422424409829,1.0390608270170618,2.1764992780345045,0.938348627510378,0.7914973370866452
7,0.9976824854590054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097875632384074,2.38965359637939,0.9380068097934805,0.7883628588183567,1.062571400477791,2.2200220857064226,0.9274392653742575,0.7541423496758684,1.0390616984740182,2.176499796808818,0.9383484172284473,0.7914972873894883
8,0.9989594669115072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097875110713539,2.389653528008653,0.9380070337250357,0.7883628648701534,1.0625710446651067,2.2200228968739646,0.9274394902933977,0.7541422340897339,1.0390607591566956,2.1764992376453978,0.9383486438847702,0.7914973409558108
9,0.9970344392914277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978758976325291,2.389653631242844,0.938006695930264,0.7883628557324408,1.0625715813942143,2.2200216733466336,0.9274391510088063,0.7541424084375717,1.0390621760791643,2.176500081204378,0.9383483019799957,0.7914972601451735
