,P_lag_1,P_lag_2,P_lag_3,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.716497572854754,538.5337720626703,0.93586327777061,0.7838719585897651,14.047408963238505,426.06775402145513,0.9309002553635105,0.765843112375912,16.025464055804107,493.48462028024926,0.9533086224709162,0.8409991364654517
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.091025908593949,279.3026832556693,0.9699649547317489,0.8891497732662033,9.784006586804992,206.9690709602161,0.9701254074006426,0.8900525379153916,10.56765458109712,214.59223826753657,0.9812916271662954,0.9308583291350134
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.091025908593949,279.3026832556693,0.9699649547317489,0.8891497732662033,9.784006586804992,206.9690709602161,0.9701254074006426,0.8900525379153916,10.56765458109712,214.59223826753657,0.9812916271662954,0.9308583291350134
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.091025908593949,279.3026832556693,0.9699649547317489,0.8891497732662033,9.784006586804992,206.9690709602161,0.9701254074006426,0.8900525379153916,10.56765458109712,214.59223826753657,0.9812916271662954,0.9308583291350134
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.091025908593949,279.3026832556693,0.9699649547317489,0.8891497732662033,9.784006586804992,206.9690709602161,0.9701254074006426,0.8900525379153916,10.56765458109712,214.59223826753657,0.9812916271662954,0.9308583291350134
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.091025908593949,279.3026832556693,0.9699649547317489,0.8891497732662033,9.784006586804992,206.9690709602161,0.9701254074006426,0.8900525379153916,10.56765458109712,214.59223826753657,0.9812916271662954,0.9308583291350134
6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.091025908593949,279.3026832556693,0.9699649547317489,0.8891497732662033,9.784006586804992,206.9690709602161,0.9701254074006426,0.8900525379153916,10.56765458109712,214.59223826753657,0.9812916271662954,0.9308583291350134
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.091025908593949,279.3026832556693,0.9699649547317489,0.8891497732662033,9.784006586804992,206.9690709602161,0.9701254074006426,0.8900525379153916,10.56765458109712,214.59223826753657,0.9812916271662954,0.9308583291350134
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.091025908593949,279.3026832556693,0.9699649547317489,0.8891497732662033,9.784006586804992,206.9690709602161,0.9701254074006426,0.8900525379153916,10.56765458109712,214.59223826753657,0.9812916271662954,0.9308583291350134
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.091025908593949,279.3026832556693,0.9699649547317489,0.8891497732662033,9.784006586804992,206.9690709602161,0.9701254074006426,0.8900525379153916,10.56765458109712,214.59223826753657,0.9812916271662954,0.9308583291350134
