,layers,neurons,batch_size,P_lag_1,P_lag_2,P_lag_3,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,3.0,17.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38.49752631219437,2360.7964389312338,0.3303333080051568,0.0604209386423408,42.51430766173072,3287.7176134002025,0.25102809250370134,-0.3910247923607544,46.463492784364824,2695.754826402376,0.38935775307291953,0.1314271455268714
1,4.0,34.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.994882014273495,274.6188725169941,0.9706198579271744,0.8909336880494931,9.760357048306897,206.96476177541257,0.9701032780382624,0.8904325117008521,10.956109159674755,217.42088196360496,0.9807364579850496,0.9299469394547211
2,1.0,40.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.004786876935789,275.0737267859604,0.9701865269832479,0.8907123449930875,9.778116797740656,205.3936679113233,0.9698604237351764,0.890779761173913,10.892982631637002,216.14273918241506,0.980867772584845,0.9303587573667246
3,1.0,44.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.026750761192453,274.50780023371715,0.9703515005000152,0.8909463624356464,9.762646253055749,203.86548215997232,0.9702290680151443,0.8914867612164115,10.771967631463468,213.532460291498,0.9812417240616811,0.9311997898541932
4,4.0,32.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.028621404391512,275.0178726661262,0.9707506597663016,0.8908093143502407,9.75090050631024,207.55298480107066,0.9699343052596398,0.88993910518118,11.031181615304867,218.10417195726316,0.9807397488067674,0.9297267832541601
5,4.0,48.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.003903327612408,275.77788334499587,0.9704647420551871,0.8905398415417107,9.76577876655553,209.22013094019857,0.9696478826269108,0.8892204246547571,11.064427524811588,221.7187591137807,0.9801572230329239,0.9285621624015775
6,3.0,40.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.076566428304938,273.27324762826197,0.9708272499164705,0.8914829755868432,9.800005069002442,206.29304237312405,0.9704560920203731,0.8907345432411578,11.359754017453938,222.37228504883663,0.9807656483860372,0.9283515961878683
7,1.0,44.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02133773515413,275.1204254599453,0.9702369626738072,0.8906085009882261,9.779037308038946,205.51888974563684,0.9700343738553283,0.8910117113547666,10.771927977699221,213.41746684073857,0.9812665496049436,0.9312368407717297
8,1.0,44.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.012316493622777,274.2872320032621,0.9704254375643211,0.8910366085738766,9.746719659610468,203.90281520988202,0.9702547257228158,0.8914645834600994,10.772549950261288,213.3808670872638,0.9812752004498924,0.9312486332211162
9,1.0,42.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.021190846489258,274.43975789838794,0.9703957655961349,0.8910119014243303,9.7792450580273,204.83888688249942,0.9702512964054317,0.8912778448373903,10.714388410888931,213.2776526021378,0.9812945056062734,0.9312818889530882
10,1.0,46.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.031798866035839,275.11881935000935,0.9702833322173565,0.8907173596283977,9.780332491655944,204.55195611307914,0.9701289934584869,0.8912981415350083,10.856562949455602,215.10738007216432,0.9809873355979727,0.9306923503214649
11,1.0,49.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.031592468941161,275.31558032817344,0.970229521885112,0.8906623322357143,9.734665222873147,204.30923604785718,0.970152104089476,0.8912767292764152,10.799790940544254,214.70455786519423,0.9810375716945285,0.9308221397335904
12,1.0,46.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.006267995951584,275.0719419984132,0.9704010443926472,0.8907128037258973,9.789021585658789,205.290568925117,0.9700501279187432,0.8909061481145069,10.886389020495544,216.22493278598256,0.9808970022737445,0.9303322745678547
13,1.0,49.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.058363407243831,275.5721519500196,0.9700722789978833,0.8905679987599309,9.770390609272267,204.9716618097427,0.969974884524202,0.8909660920419273,10.798945924205073,215.10603040143192,0.9809691622318538,0.9306927851857001
14,1.0,49.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.026777576302798,275.2416504501855,0.9702702332399267,0.890687734571702,9.733461294866236,204.54716211196467,0.9701608957728063,0.8912341514807351,10.809578006779283,214.83891929274918,0.9810087331710166,0.9307788484492646
15,4.0,41.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.986459888075242,275.75417856095925,0.9706442270796276,0.8905836662892763,9.72722517429749,208.9955891966109,0.9701840543390423,0.8894518140818886,10.923279312577346,218.17465791474467,0.9812855886930337,0.9297040726616795
16,4.0,47.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.985162605640213,273.4608644066762,0.9706620640186027,0.8914555264695352,9.779954652402564,207.7399645469861,0.9698721523944442,0.8899431374389586,11.138450089842546,223.62141317170023,0.9798326685893203,0.9279491268057672
