,l1_ratio,P_lag_1,P_lag_2,P_lag_3,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,0.8490877004265338,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.14182643669863,279.49958442600604,0.9696703526005974,0.8890723218369545,9.82751147982411,207.16533004065778,0.9698116336112826,0.8899048373035459,10.649870096026067,216.14811834192213,0.9809938778767303,0.9303570242002356
1,0.9999825233622592,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.095461801643854,279.3049274987926,0.9699355368252207,0.8891488826480616,9.788448829726567,206.97924936726062,0.9700938065326621,0.8900432452407261,10.576293663782822,214.74713330930774,0.9812599726511138,0.9308084219152406
2,0.9999784723838656,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.095462658763235,279.3049283612595,0.9699355311519053,0.8891488823075222,9.788449667385347,206.97925088574314,0.9700938005069302,0.8900432436130246,10.576295216577584,214.74716164305946,0.9812599669137928,0.930808412786099
3,0.9999313544436146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.095472628618392,279.3049384055176,0.9699354651595247,0.8891488783416372,9.78845941087912,206.979268557772,0.970093730415179,0.8900432246746509,10.576313278403935,214.7474912291218,0.981259900177057,0.9308083065933903
4,0.9999930535236524,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.095459573668487,279.3049252576942,0.9699355515722097,0.8891488835329457,9.788446652336658,206.9792454207474,0.9700938221957054,0.8900432494713997,10.576289627485906,214.74705966007124,0.9812599875644861,0.9308084456450424
5,0.999914294687977,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.095476238574339,279.3049420479556,0.9699354412638912,0.8891488769034641,9.788462938872868,206.9792749608181,0.9700937050351582,0.8900432178149262,10.576319818359629,214.74761057391788,0.9812598760119681,0.9308082681404682
6,0.9999917334430136,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.095459852969178,279.30492553857846,0.9699355497235229,0.8891488834220402,9.788446925295911,206.97924591543833,0.9700938202321822,0.8900432489410657,10.57629013347915,214.74706889272983,0.9812599856949408,0.9308084426702776
7,0.9999508666146308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.095468499859109,279.30493424322003,0.9699354924888897,0.8891488799850777,9.788455375861421,206.97926123727336,0.9700937594422214,0.8900432325186645,10.576305798562078,214.74735473660513,0.9812599278146452,0.9308083505713121
8,0.9999468994264508,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.095469339300426,279.30493508916805,0.9699354869324387,0.8891488796510634,9.788456196243587,206.9792627254068,0.9700937535406093,0.8900432309239881,10.576307319330805,214.74738248733365,0.9812599221955239,0.9308083416300207
9,0.9999482304491146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.095469057660592,279.30493480532743,0.9699354887966782,0.8891488797631351,9.788455920998263,206.97926222611156,0.9700937555206537,0.8900432314590234,10.576306809099714,214.7473731767048,0.9812599240807897,0.9308083446299076
10,0.999967510419186,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.095464978165069,279.30493069596463,0.9699355157995733,0.8891488813856812,9.788451934126009,206.97925499545806,0.9700937842009356,0.8900432392080363,10.576299418507059,214.74723831629987,0.9812599513882692,0.9308083880819624
11,0.9999870476223952,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.09546084439378,279.3049265357667,0.9699355431612836,0.8891488830283062,9.788447894210536,206.97924767153538,0.9700938132623093,0.8900432470584949,10.576291929586988,214.74710166575085,0.9812599790586616,0.9308084321108023
12,0.9999678174066468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.095464913210058,279.30493063056446,0.9699355162295182,0.8891488814115038,9.78845187064578,206.97925488035258,0.9700937846575882,0.8900432393314055,10.576299300831728,214.74723616904268,0.9812599518230642,0.9308083887738092
13,0.9999394196828468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.095470922001821,279.30493668457075,0.9699354764561318,0.8891488790211346,9.788457743010468,206.97926553149782,0.9700937424135234,0.8900432279171635,10.576310186622203,214.74743480964062,0.9812599116010621,0.9308083247717608
14,0.99999206317754,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.095459783204374,279.3049254684165,0.9699355501852951,0.8891488834497433,9.7884468571151,206.97924579187122,0.9700938207226387,0.8900432490735353,10.576290007090202,214.74706658655896,0.9812599861619232,0.9308084434133264
15,0.9999739745760752,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.095463610432,279.3049293190602,0.9699355248527401,0.8891488819293413,9.788450597446815,206.97925257187904,0.9700937938164713,0.8900432418056865,10.576296940662173,214.74719310253394,0.981259960543564,0.9308084026498488
16,0.9999934858529568,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.09545948219705,279.30492516570797,0.9699355521776571,0.889148883569266,9.788446562942054,206.97924525873822,0.9700938228387621,0.8900432496450832,10.576289461772285,214.7470566363645,0.9812599881767649,0.9308084466192814
17,0.9999762172980204,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.095463135904607,279.3049288414496,0.9699355279936747,0.8891488821179224,9.788450133693395,206.97925173110724,0.9700937971525154,0.8900432427068845,10.57629608098767,214.74717741597465,0.9812599637199324,0.9308084077040619
