,n_estimators,max_depth,min_samples_split,min_samples_leaf,P_lag_1,P_lag_2,P_lag_3,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,50.0,4.0,8.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39.99626833310256,2511.7617500022234,0.08810605367155713,0.003216937617969927,37.96662920172533,1972.4649046624581,0.09581772324351882,-0.10241422474677028,49.55639623396728,3104.0716670151596,0.06305231441699488,-0.00013263888193471018
1,182.0,4.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.206418481983414,236.19789694774758,0.9747734395982501,0.906179282996856,9.9005598931673,219.02278507391293,0.9689776566968821,0.8859782908129511,11.578681296887966,242.40596567037164,0.9781736929352762,0.921896739465504
2,214.0,4.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.184560723582372,233.36495992822714,0.9750703173881567,0.9072825757803551,9.91105760694942,219.75521117514432,0.9688506811092499,0.8852947694145918,11.644489208009569,244.97751918175584,0.9779383642578143,0.9210681843046498
3,285.0,4.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.208054173745253,236.28597705893506,0.9747745350289605,0.9061491848820422,9.897726229697668,219.0167540963788,0.9690265064484616,0.8860508313133695,11.592961015751516,242.30189119122525,0.9782210935606823,0.9219302722877565
4,281.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.179389110950453,233.25274579122689,0.9751024835558483,0.9073297136951373,9.90735090684651,219.90230348977016,0.9688585892163334,0.8851121509788369,11.64020683395224,244.67075247817363,0.9779796460615586,0.9211670246104439
5,70.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.15632133674117,233.72319765465647,0.9751107829263651,0.9071486008190979,9.905021567862702,219.2082002400328,0.9689147207422371,0.8851599859532311,11.573488389672697,242.7404705409136,0.978170398670183,0.9217889619156332
6,178.0,4.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.204740258801955,236.19130374216354,0.9747686496696069,0.9061800105265344,9.901379811769043,219.01242333453985,0.9689722250846609,0.8859740214418563,11.578714535113344,242.31815940825797,0.9781865032104538,0.9219250306643094
7,77.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.146544109007088,230.12976314622847,0.9754786635726029,0.9085465155567874,9.93794277258495,221.09545971986182,0.9685960503977589,0.8837397643850499,11.624313507121826,245.25115547902027,0.9779023508498081,0.9209800186237522
8,69.0,4.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.189975802662527,236.8277013692558,0.974780523656718,0.9059359844255499,9.896076674395154,218.59165539191613,0.9690389937676284,0.8858315301766405,11.526673038346518,240.52709227658048,0.978388184458725,0.9225021129256034
9,270.0,4.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.20956540882608,236.29490018636955,0.9747779555906977,0.9061472284438002,9.897866719632326,218.92888941473376,0.9690283691656945,0.886075076663442,11.597176827276247,242.33504324604564,0.9782089097457913,0.921919590687707
10,76.0,4.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.15884060596844,233.720409492596,0.9751030891068894,0.9071482173165051,9.894410623462749,219.1902822211466,0.9689117074685144,0.8852425813007659,11.575113650923976,242.76529358351547,0.9781422208775571,0.921780963925327
11,186.0,4.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.206114905979767,236.18154057479643,0.9747749043216618,0.9061873067095338,9.897453090724124,218.97402146992061,0.9689831929485847,0.8860006076446323,11.583149388475595,242.4000429124453,0.9781813412563142,0.9218986477795346
12,267.0,4.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.180691302866375,233.25303851106023,0.9751059871254093,0.907328119837403,9.90805843479859,219.7718864906563,0.9688763384932327,0.885193323545789,11.63601365196921,244.43499112346478,0.9779983824286426,0.9212429869757259
13,136.0,4.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.202559341849659,236.45361447298438,0.9747880826762045,0.9060797192068801,9.900409435479958,219.2439541162404,0.9689706431598717,0.885757089431186,11.532243064904684,241.2936343724528,0.9783196404741348,0.9222551328776536
14,185.0,4.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.206628275661323,236.19124700793253,0.9747710012620763,0.9061836989837075,9.898680284414997,219.0124022574475,0.9689760081031218,0.8859877167765933,11.58116909292576,242.34548467807315,0.978181468798975,0.9219162264557924
15,79.0,4.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.191231387343134,236.75444003413827,0.9747661081426078,0.9059644592314317,9.888274601192157,218.16807375638285,0.9690945020276476,0.8861467472216986,11.521278815430241,240.5964440359291,0.9783604170142529,0.9224797677720344
16,81.0,4.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.192724858729317,236.74165205568528,0.9747697817701872,0.9059689530233253,9.896635505590357,218.6333261662303,0.9690483549573716,0.885958593611919,11.52042912622401,240.5257827347369,0.9783734086122868,0.9225025348603008
